2026-01-17 19:56:21,591 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' already exists, returning
2026-01-17 19:56:21,682 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' already exists, returning
2026-01-18 08:40:30,540 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 08:40:30,566 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 08:40:30,566 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:40:35,651 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 08:40:35,685 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 08:40:35,685 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:40:40,783 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 08:40:40,820 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 08:40:40,821 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:53:40,847 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 08:53:40,881 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 08:53:40,882 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:53:45,963 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 08:53:45,988 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 08:53:45,989 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:53:51,075 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 08:53:51,107 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 08:53:51,108 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:59:35,271 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 08:59:35,316 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 08:59:35,320 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:59:40,402 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 08:59:40,437 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 08:59:40,439 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 08:59:45,524 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 08:59:45,561 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 08:59:45,563 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:01:06,609 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' already exists, returning
2026-01-18 09:01:06,621 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' already exists, returning
2026-01-18 09:01:06,698 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' already exists, returning
2026-01-18 09:11:32,858 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
